title,name,likes,tags,commentsCount,comments,makes,remixes,apps,date,url,id,img
4th Doctor's TARDIS (1979),TheBigWoogle,10,[],0,[],0,0,6,"by TheBigWoogle February 07, 2023",https://www.thingiverse.com/thing:5839936,5839936,https://cdn.thingiverse.com/assets/ac/cd/a5/2f/85/card_preview_6a3aab86-1a75-497c-8f54-bb28fc233737.png
Dealer Shoe dual deck with discard Tray,Nicolas1167,10,[],6,"[[""The only problem that i have with this is the part that is labeled floor it doesn't sit flat can you please fix it please"", 'Hi\nI\'ve try to fix it but it seem that it\'s the Cura ""Auto-Orientation"" that place it at a 10 degrees angle.\nTo fix this, right click on the bed and select ""Reset All Model Transformations""\nIt will place the Floor STL Flat on the bed with the rail facing up like it\'s suppose to be printLet me know if I can provide any more help\nThanksi\'ve tried it using cura i\'ve tried it the way you said and it still comes not flat :( kinda sucks because it started to come out nice but i cant continue because the i cant print the floor part im new at 3d printing but it doesnt come out rightHave you download the updated version I uploaded yesturday ?If it still doesn\'t work, select the rotate option in cura and uncheck the ""snap"" feature', 'i\'ve tried it using cura i\'ve tried it the way you said and it still comes not flat :( kinda sucks because it started to come out nice but i cant continue because the i cant print the floor part im new at 3d printing but it doesnt come out rightHave you download the updated version I uploaded yesturday ?If it still doesn\'t work, select the rotate option in cura and uncheck the ""snap"" feature', 'Have you download the updated version I uploaded yesturday ?If it still doesn\'t work, select the rotate option in cura and uncheck the ""snap"" feature'], [""Damn that is so cool.While you're editing the files, you might want to fill in the sides of the shoe where the cards sit. I've had quite a few of my sleeved cards get caught on those stupid holes. It's not worth the plastic savings to constantly have to reposition the cards."", ""ThanksActualy the card are not moving sideway at all with the pressure of the rubber band, So I don't think the holes will be a problem. But I'm going to put it to the real life test tonightI really like the desing you added to the original file <3 Made me want to work on it !! I tried to keep it in the same vibe""]]",0,0,4,"by Nicolas1167 February 03, 2023",https://www.thingiverse.com/thing:5831811,5831811,https://cdn.thingiverse.com/assets/ee/e0/96/61/89/card_preview_c9b29915-91b4-4622-9769-3a362a822447.jpg
MIT Toroidal Propeller Replica,messuti94,10,"['drone', 'fpv', 'mit', 'prop', 'propeller', 'toroidal']",5,"[['What did you print these out of? I printed another set with PLA Pro and they started falling apart and caused my motors to get hot which cause the PLA pro to melt at the hub.', ""hi! I printed them in pla and they worked. I also tried TPU but it's too softWhat kind of filament and printer?i used sunlu standard pla and anycubic mega s. My drone is 1.5mm shaft.sunlu play and anycubic mega 3 printer"", 'What kind of filament and printer?i used sunlu standard pla and anycubic mega s. My drone is 1.5mm shaft.sunlu play and anycubic mega 3 printer', 'i used sunlu standard pla and anycubic mega s. My drone is 1.5mm shaft.', 'sunlu play and anycubic mega 3 printer']]",0,0,6,"by messuti94 February 07, 2023",https://www.thingiverse.com/thing:5839719,5839719,https://cdn.thingiverse.com/assets/63/e6/04/be/59/card_preview_c42edbc3-81cc-4fe9-a83f-570c86e476ab.jpg
"special valentine keychain, dogtag, earring",schnurrri,10,"['3D jewelry', '3D keychain', '3D keychains', '3d logo', 'awesome', 'cool', 'cool earrings', 'epic', 'geek', 'geky', 'gift', 'heart valentines day', 'jewelry', 'keychain', 'keychains', 'key chain', 'Key chains', 'love', 'must have', 'nerd', 'nerdy', 'nerdy stuff', 'romantic', 'sweet', 'Trend', 'trending', 'trendy', 'valentine', 'valentines', 'valentines day', 'valentines day gifts']",0,[],0,0,6,"by schnurrri February 04, 2023",https://www.thingiverse.com/thing:5834220,5834220,https://cdn.thingiverse.com/assets/4f/f6/32/01/03/card_preview_3a85e8f8-9b7c-457c-aa72-5888dbdc1d0d.png
Moose 3D Model - Animal Friend,layeredART,10,"['caribou', 'Caribou3d', 'deer', 'ELK', 'Hunting', 'moose', 'outdoor', 'outdoors', 'reindeer']",0,[],0,0,3,"by layeredART January 30, 2023",https://www.thingiverse.com/thing:5822494,5822494,https://cdn.thingiverse.com/assets/25/40/f7/94/5b/card_preview_d1edf6b8-c641-418b-bc23-15f234c8e3a7.png
Backpacker F,htw112,10,"['164', 'diorama', 'figurine', 'hot wheels', 'miniature', 'miniatures', 'Model Trains', 'statue', 'walking', 'woman']",0,[],0,0,6,"by htw112 February 04, 2023",https://www.thingiverse.com/thing:5834696,5834696,https://cdn.thingiverse.com/assets/31/e7/c2/37/87/card_preview_fb396856-69e5-4e7d-9da2-48245e8f8732.png
USB Panel Mount Threaded,teuchezh,10,"['mount', 'usb', 'USB Holder']",2,"[['I increased the scale of the nut by 1 mm, now all the parts fit together very well', 'Thank you for appreciating my work! I recently started to practice in 3d modeling. I know the fit of the thread turned out to be too tight, but after twisting the thread with a whim a couple of times, everything got used. I forgot to mention that it is worth printing a nut on a scale of 101-102%']]",1,0,3,"by teuchezh February 10, 2023",https://www.thingiverse.com/thing:5847367,5847367,https://cdn.thingiverse.com/assets/1f/be/c7/c6/64/card_preview_ab8d8a5a-996f-4e72-971b-13694fea4253.jpg
MicroSAFETY cookie cutters micromobility vehicles,marcodozzachalmers,10,"['Bell', 'bicycle', 'bicycle bell', 'bicycle light', 'bike', 'Bike Bell', 'Bike Brakes', 'Brake', 'brake lever', 'cookiecutter', 'cookie cutter', 'cycling', 'cycling safety', 'electric scooter', 'helmet', 'light', 'micromobility', 'Monocycle', 'scooter', 'skateboard', 'unicycle']",0,[],0,0,6,"by marcodozzachalmers February 04, 2023",https://www.thingiverse.com/thing:5833448,5833448,https://cdn.thingiverse.com/assets/bd/25/5b/f4/a0/card_preview_907cf7d8-7b89-42ea-970a-1fcbcac08e5f.jpg
Celtic Knot Gridfinity Bins,DaveMakesStuff,10,"['bin', 'box', 'celtic', 'Celtic knot', 'container', 'desktop', 'Desktop Organizer', 'gridfinity', 'Lattice', 'modular storage', 'ntopology', 'storage']",0,[],0,0,4,"by DaveMakesStuff February 19, 2023",https://www.thingiverse.com/thing:5863120,5863120,https://cdn.thingiverse.com/assets/e5/65/00/8c/58/card_preview_f609680d-ce99-4217-b553-fbbc6ae285df.jpg
Butter Knife Holder - blade rest,dougk49,10,"['blade', 'blade holder', 'blade rest', 'butter', 'butter knife', 'Butter knife holder', 'butter knife rest', 'knife', 'knife holder', 'knife rest']",0,[],0,0,4,"by dougk49 February 05, 2023",https://www.thingiverse.com/thing:5836645,5836645,https://cdn.thingiverse.com/assets/af/12/7c/d3/f3/card_preview_a33a2070-c8d8-4523-8ed9-7c2c478971f3.jpg
